ace,pace,ssi,precip,start_year,ensemble_member,count
0.0,0.0,0.0,0.0,1960,1,0
0.0,0.0,0.0,0.0,1960,2,0
0.0,0.0,0.0,0.0,1960,3,0
0.0,0.0,0.0,0.0,1960,4,0
0.5942597825598666,165.9298283432689,18062.12158760045,3.5763962,1960,5,1
1.3161629781756359,1065.5573232847455,49003.40743953479,10.741535599999999,1960,6,1
0.0,0.0,0.0,0.0,1960,7,0
1.2855722674522567,2107.1212262258477,66963.35353998789,7.7063852,1960,8,1
0.0,0.0,0.0,0.0,1960,9,0
0.0,0.0,0.0,0.0,1961,1,0
0.0,0.0,0.0,0.0,1961,2,0
0.0,0.0,0.0,0.0,1961,3,0
0.0,0.0,0.0,0.0,1961,4,0
0.0,0.0,0.0,0.0,1961,5,0
0.0,0.0,0.0,0.0,1961,6,0
0.2367987902141938,1515.0419267308594,9152.033525094594,3.6322099999999997,1961,7,1
0.0,0.0,0.0,0.0,1961,8,0
0.0,0.0,0.0,0.0,1961,9,0
0.0,0.0,0.0,0.0,1962,1,0
2.081118806119348,711.2260576218591,68766.5986707226,26.9156124,1962,2,1
0.6658569096586174,876.2029909342943,20163.457744402735,11.857073999999999,1962,3,1
0.0,0.0,0.0,0.0,1962,4,0
1.4700913028835823,450.28058459452575,56261.74640628336,11.666883200000001,1962,5,1
0.0,0.0,0.0,0.0,1962,6,0
0.0,0.0,0.0,0.0,1962,7,0
0.0,0.0,0.0,0.0,1962,8,0
0.0,0.0,0.0,0.0,1962,9,0
0.0,0.0,0.0,0.0,1963,1,0
0.0,0.0,0.0,0.0,1963,2,0
0.32620180310214025,473.5618200768615,10430.643915480072,7.238682000000001,1963,3,1
0.45110685308659704,1609.7116535983805,20762.8613283248,6.996938,1963,4,1
0.0,0.0,0.0,0.0,1963,5,0
0.0,0.0,0.0,0.0,1963,6,0
0.7673453941156931,923.4900285492017,28021.78240149699,8.7998086,1963,7,1
0.0,0.0,0.0,0.0,1963,8,0
0.0,0.0,0.0,0.0,1963,9,0
1.0303597704060907,1633.6108051687745,41678.58478044759,7.7569405,1964,1,1
0.0,0.0,0.0,0.0,1964,2,0
0.0,0.0,0.0,0.0,1964,3,0
0.0,0.0,0.0,0.0,1964,4,0
0.0,0.0,0.0,0.0,1964,5,0
0.0,0.0,0.0,0.0,1964,6,0
